identifier,programme,status,opening,deadline,deadline_model,budget_total_eur,action_type,topic_url
HORIZON-CL5-2026-10-D6-01,Horizon Europe,forthcoming,2026-06-04,2026-10-08,single-stage,263000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-10-D6-01
HORIZON-CL4-2027-01-MAT-PROD-16,Horizon Europe,forthcoming,2026-09-22,2027-02-02,single-stage,224000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-01-MAT-PROD-16
HORIZON-CL4-2027-01-MAT-PROD-47,Horizon Europe,forthcoming,2026-09-22,2027-02-02,single-stage,224000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-01-MAT-PROD-47
HORIZON-CL4-2027-04-HUMAN-01,Horizon Europe,forthcoming,2026-11-17,2027-03-18,single-stage,272000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-04-HUMAN-01
HORIZON-JU-CLEAN-AVIATION-2026-04-SMR-02,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-SMR-02
HORIZON-CL5-2027-03-D5-06,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-06
HORIZON-CL4-2027-02-DIGITAL-EMERGING-52-two-stage,Horizon Europe,forthcoming,2026-09-22,2027-02-02,two-stage,82500000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-02-DIGITAL-EMERGING-52-two-stage
HORIZON-CL5-2027-03-D5-05,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-05
HORIZON-MSCA-2027-COFUND-02-01,Horizon Europe,forthcoming,2026-12-08,2027-04-06,single-stage,51251165,HORIZON TMA MSCA Cofund Postdoctoral programme,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2027-COFUND-02-01
HORIZON-MSCA-2027-COFUND-01-01,Horizon Europe,forthcoming,2026-12-08,2027-04-06,single-stage,51251165,HORIZON TMA MSCA Cofund Doctoral programme,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2027-COFUND-01-01
HORIZON-JU-CLEAN-AVIATION-2026-04-REG-01,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-REG-01
HORIZON-JU-CLEAN-AVIATION-2026-04-ACI-01,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-ACI-01
HORIZON-JU-CLEAN-AVIATION-2026-04-HPA-03,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-HPA-03
HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-01,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-01
HORIZON-JU-CLEAN-AVIATION-2026-04-HPA-01,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-HPA-01
HORIZON-JU-CLEAN-AVIATION-2026-04-TRA-01,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-TRA-01
HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-04,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-04
HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-07,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-07
HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-05,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-05
HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-03,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-03
HORIZON-EIE-2027-01-CONNECT-02,Horizon Europe,forthcoming,2027-06-01,2027-09-15,single-stage,34000000,HORIZON Pre-commercial Procurement,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIE-2027-01-CONNECT-02
HORIZON-CL4-2027-04-DATA-03,Horizon Europe,forthcoming,2026-11-17,2027-03-18,single-stage,272000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL4-2027-04-DATA-03
HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-06,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-06
HORIZON-JU-CLEAN-AVIATION-2026-04-CSA-01,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-CSA-01
HORIZON-WIDERA-2027-05-ERA-01,Horizon Europe,forthcoming,2026-12-08,2027-03-11,single-stage,42000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2027-05-ERA-01
HORIZON-WIDERA-2027-05-ERA-04,Horizon Europe,forthcoming,2026-12-08,2027-03-11,single-stage,42000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-WIDERA-2027-05-ERA-04
HORIZON-JU-CLEAN-AVIATION-2026-04-HPA-04,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-HPA-04
HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-02,Horizon Europe,open,2026-03-31,2026-05-19,single-stage,5931000000,HORIZON JU Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CLEAN-AVIATION-2026-04-FTA-02
HORIZON-CL5-2027-06-D6-08,Horizon Europe,forthcoming,2027-06-03,2027-10-07,single-stage,37100000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-06-D6-08
ISF-2026-TF2-AG-CEEP,ISF,open,2026-02-26,2026-05-27,single-stage,5000000,ISF Project Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ISF-2026-TF2-AG-CEEP
HORIZON-CL5-2027-02-D3-31,Horizon Europe,forthcoming,2026-12-03,2027-03-31,single-stage,227600000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-02-D3-31
HORIZON-CL5-2027-07-D3-27,Horizon Europe,forthcoming,2027-08-04,2027-12-01,single-stage,179000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-07-D3-27
HORIZON-CL5-2027-05-D4-07,Horizon Europe,forthcoming,2027-05-05,2027-09-15,single-stage,95300000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-05-D4-07
HORIZON-CL5-2027-03-D5-16,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-16
HORIZON-CL5-2027-03-D5-17,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON  Research and Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-17
HORIZON-CL5-2027-07-D3-26,Horizon Europe,forthcoming,2027-08-04,2027-12-01,single-stage,179000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-07-D3-26
HORIZON-CL5-2027-03-D5-15,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-15
HORIZON-CL5-2027-02-D3-24,Horizon Europe,forthcoming,2026-12-03,2027-03-31,single-stage,227600000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-02-D3-24
HORIZON-CL5-2026-11-D3-23,Horizon Europe,forthcoming,2026-08-04,2026-12-01,single-stage,131500000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-11-D3-23
PERI-2026-ANTI-COUNTERFEIT,Pericles IV,open,2026-02-19,2026-04-21,multiple cut-off,600000,PERI Project Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/PERI-2026-ANTI-COUNTERFEIT
HORIZON-EURATOM-2026-NRT-01-01,Horizon Europe,open,2026-03-10,2026-09-15,single-stage,1600000,EURATOM Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EURATOM-2026-NRT-01-01
SOCPL-2026-SOC-DIALOG,EaSI / SOCPL,open,2026-01-21,2026-07-23,single-stage,13250000,SOCPL Project Grants,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/SOCPL-2026-SOC-DIALOG
EDF-2026-RA-UWW-FUWN,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,770000000,EDF Research Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-RA-UWW-FUWN
HORIZON-CL5-2027-07-D3-32,Horizon Europe,forthcoming,2027-08-04,2027-12-01,single-stage,179000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-07-D3-32
HORIZON-CL5-2027-02-D3-30,Horizon Europe,forthcoming,2026-12-03,2027-03-31,single-stage,227600000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-02-D3-30
EDF-2026-DA-GROUND-MRL,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,4642000000,EDF Development Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-DA-GROUND-MRL
HORIZON-CL5-2027-05-D4-09,Horizon Europe,forthcoming,2027-05-05,2027-09-15,single-stage,95300000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-05-D4-09
HORIZON-CL5-2027-03-D5-18,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-18
HORIZON-CL5-2027-07-D3-28,Horizon Europe,forthcoming,2027-08-04,2027-12-01,single-stage,179000000,HORIZON Coordination and Support Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-07-D3-28
HORIZON-CL5-2027-03-D5-03,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-03
HORIZON-CL5-2027-05-D4-06,Horizon Europe,forthcoming,2027-05-05,2027-09-15,single-stage,95300000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-05-D4-06
HORIZON-CL5-2027-03-D5-04,Horizon Europe,forthcoming,2026-12-15,2027-04-14,single-stage,131000000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-03-D5-04
HORIZON-CL5-2027-05-D4-05,Horizon Europe,forthcoming,2027-05-05,2027-09-15,single-stage,95300000,HORIZON Innovation Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2027-05-D4-05
EDF-2026-DA-PROTMOB-DMM,European Defence Fund,open,2026-02-11,2026-09-29,single-stage,4642000000,EDF Development Actions,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EDF-2026-DA-PROTMOB-DMM
